District;English 2019 max;English 2020 max
Вінницька область;200.0;200.0
Волинська область;199.0;200.0
Дніпропетровська область;200.0;200.0
Донецька область;200.0;200.0
Житомирська область;199.0;200.0
Закарпатська область;199.0;200.0
Запорізька область;200.0;200.0
Івано-Франківська область;200.0;200.0
Київська область;200.0;200.0
Кіровоградська область;199.0;199.0
Луганська область;199.0;199.0
Львівська область;200.0;200.0
м.Київ;200.0;200.0
Миколаївська область;198.0;200.0
Одеська область;200.0;200.0
Полтавська область;199.0;200.0
Рівненська область;199.0;200.0
Сумська область;198.0;199.0
Тернопільська область;200.0;200.0
Харківська область;200.0;200.0
Херсонська область;199.0;199.0
Хмельницька область;200.0;200.0
Черкаська область;200.0;199.0
Чернівецька область;200.0;200.0
Чернігівська область;200.0;200.0
